Source,Degrees of Freedom (df),Sum of Squares (sum_sq),Mean Square (mean_sq),F-statistic (F),p-value (PR(>F))
C(sex),1.0,10.326686128076782,10.326686128076782,4.640553719951233,0.03499601080016466
C(type_participant),1.0,60.97118736126381,60.97118736126381,27.39892224959591,1.959602085454305e-06
C(sex):C(type_participant),1.0,3.044613158428139,3.044613158428139,1.368172784853244,0.24646378200434957
Residual,64.0,142.420054174884,2.2253133464825625,,
